inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
1701,418,2024-09-11,Inspector 3,Needs Attention,Inspection notes for property 418,Water Hygiene,1951-01-01,74,2,North Patch 2,112,Pass,False,False,None
1702,418,2021-02-06,Inspector 3,Pass,Inspection notes for property 418,Gas Safety,1951-01-01,74,2,North Patch 2,1425,Pass,False,False,None
1703,419,2020-04-21,Inspector 1,Pass,Inspection notes for property 419,Gas Safety,1954-01-01,71,8,West Patch 2,1716,Pass,False,False,None
1704,419,2022-03-29,Inspector 5,Fail,Inspection notes for property 419,Gas Safety,1954-01-01,71,8,West Patch 2,1009,Advisory,True,False,Medium
1705,419,2024-12-02,Inspector 7,Needs Attention,Inspection notes for property 419,Gas Safety,1954-01-01,71,8,West Patch 2,30,Advisory,True,False,Medium
1706,419,2023-08-09,Inspector 5,Pass,Inspection notes for property 419,Fire Safety,1954-01-01,71,8,West Patch 2,511,Pass,False,False,None
1707,420,2021-05-20,Inspector 9,Fail,Inspection notes for property 420,Electrical,1996-01-01,29,6,South Patch 2,1322,Fail,True,True,High
1708,420,2021-04-11,Inspector 8,Needs Attention,Inspection notes for property 420,Fire Safety,1996-01-01,29,6,South Patch 2,1361,Advisory,True,False,Medium
1709,420,2022-02-23,Inspector 6,Needs Attention,Inspection notes for property 420,Electrical,1996-01-01,29,6,South Patch 2,1043,Advisory,True,False,Low
1710,420,2022-03-20,Inspector 4,Needs Attention,Inspection notes for property 420,Electrical,1996-01-01,29,6,South Patch 2,1018,Pass,False,False,None
1711,421,2023-01-10,Inspector 1,Pass,Inspection notes for property 421,Fire Safety,1978-01-01,47,2,North Patch 2,722,Pass,False,False,None
1712,421,2023-05-26,Inspector 4,Pass,Inspection notes for property 421,Fire Safety,1978-01-01,47,2,North Patch 2,586,Pass,False,False,None
1713,422,2023-11-13,Inspector 10,Fail,Inspection notes for property 422,General HHSRS,1954-01-01,71,2,North Patch 2,415,Pass,False,False,None
1714,422,2024-10-05,Inspector 10,Fail,Inspection notes for property 422,Gas Safety,1954-01-01,71,2,North Patch 2,88,Pass,False,False,None
1715,422,2021-12-29,Inspector 5,Fail,Inspection notes for property 422,Fire Safety,1954-01-01,71,2,North Patch 2,1099,Pass,False,False,None
1716,422,2021-08-06,Inspector 3,Fail,Inspection notes for property 422,Water Hygiene,1954-01-01,71,2,North Patch 2,1244,Advisory,True,False,Medium
1717,422,2024-11-08,Inspector 5,Needs Attention,Inspection notes for property 422,Fire Safety,1954-01-01,71,2,North Patch 2,54,Advisory,True,False,Medium
1718,422,2021-08-03,Inspector 3,Needs Attention,Inspection notes for property 422,Electrical,1954-01-01,71,2,North Patch 2,1247,Fail,True,False,High
1719,423,2021-07-19,Inspector 5,Needs Attention,Inspection notes for property 423,Water Hygiene,1978-01-01,47,6,South Patch 2,1262,Pass,False,False,None
1720,423,2021-06-16,Inspector 4,Needs Attention,Inspection notes for property 423,Fire Safety,1978-01-01,47,6,South Patch 2,1295,Pass,False,False,None
1721,424,2021-05-23,Inspector 9,Needs Attention,Inspection notes for property 424,Fire Safety,1954-01-01,71,3,East Patch 1,1319,Pass,False,False,None
1722,424,2022-09-22,Inspector 3,Fail,Inspection notes for property 424,Fire Safety,1954-01-01,71,3,East Patch 1,832,Pass,False,False,None
1723,424,2022-12-14,Inspector 1,Needs Attention,Inspection notes for property 424,Gas Safety,1954-01-01,71,3,East Patch 1,749,Pass,False,False,None
1724,424,2024-08-23,Inspector 5,Pass,Inspection notes for property 424,Fire Safety,1954-01-01,71,3,East Patch 1,131,Pass,False,False,None
1725,424,2024-06-17,Inspector 9,Fail,Inspection notes for property 424,Electrical,1954-01-01,71,3,East Patch 1,198,Pass,False,False,None
1726,424,2023-03-26,Inspector 2,Fail,Inspection notes for property 424,Fire Safety,1954-01-01,71,3,East Patch 1,647,Advisory,True,False,Medium
1727,425,2024-04-04,Inspector 4,Fail,Inspection notes for property 425,Gas Safety,1978-01-01,47,8,West Patch 2,272,Pass,False,False,None
1728,425,2024-12-07,Inspector 7,Pass,Inspection notes for property 425,Water Hygiene,1978-01-01,47,8,West Patch 2,25,Advisory,True,False,High
1729,425,2024-06-27,Inspector 2,Pass,Inspection notes for property 425,General HHSRS,1978-01-01,47,8,West Patch 2,188,Pass,False,False,None
1730,425,2020-12-29,Inspector 5,Needs Attention,Inspection notes for property 425,Electrical,1978-01-01,47,8,West Patch 2,1464,Pass,False,False,None
1731,426,2022-10-02,Inspector 6,Needs Attention,Inspection notes for property 426,Gas Safety,1952-01-01,73,5,South Patch 1,822,Pass,False,False,None
1732,426,2020-03-23,Inspector 5,Needs Attention,Inspection notes for property 426,Electrical,1952-01-01,73,5,South Patch 1,1745,Pass,False,False,None
1733,427,2024-10-07,Inspector 1,Pass,Inspection notes for property 427,Gas Safety,1952-01-01,73,1,North Patch 1,86,Pass,False,False,None
1734,427,2020-11-11,Inspector 7,Pass,Inspection notes for property 427,Gas Safety,1952-01-01,73,1,North Patch 1,1512,Pass,False,False,None
1735,427,2020-07-23,Inspector 9,Needs Attention,Inspection notes for property 427,Fire Safety,1952-01-01,73,1,North Patch 1,1623,Pass,False,False,None
1736,427,2020-04-24,Inspector 7,Fail,Inspection notes for property 427,General HHSRS,1952-01-01,73,1,North Patch 1,1713,Pass,False,False,None
1737,427,2024-12-05,Inspector 5,Pass,Inspection notes for property 427,Gas Safety,1952-01-01,73,1,North Patch 1,27,Pass,False,False,None
1738,427,2022-03-14,Inspector 3,Needs Attention,Inspection notes for property 427,Fire Safety,1952-01-01,73,1,North Patch 1,1024,Fail,True,True,Medium
1739,428,2022-12-15,Inspector 10,Needs Attention,Inspection notes for property 428,Gas Safety,1952-01-01,73,4,East Patch 2,748,Pass,False,False,None
1740,428,2024-12-10,Inspector 6,Needs Attention,Inspection notes for property 428,Gas Safety,1952-01-01,73,4,East Patch 2,22,Advisory,True,False,Low
1741,428,2021-11-04,Inspector 10,Fail,Inspection notes for property 428,General HHSRS,1952-01-01,73,4,East Patch 2,1154,Pass,False,False,None
1742,429,2024-01-20,Inspector 8,Fail,Inspection notes for property 429,Electrical,1952-01-01,73,1,North Patch 1,347,Fail,True,True,Low
1743,429,2022-06-04,Inspector 5,Fail,Inspection notes for property 429,General HHSRS,1952-01-01,73,1,North Patch 1,942,Advisory,True,False,High
1744,429,2022-02-27,Inspector 4,Fail,Inspection notes for property 429,Fire Safety,1952-01-01,73,1,North Patch 1,1039,Pass,False,False,None
1745,429,2020-07-04,Inspector 2,Fail,Inspection notes for property 429,Gas Safety,1952-01-01,73,1,North Patch 1,1642,Pass,False,False,None
1746,429,2020-03-10,Inspector 6,Pass,Inspection notes for property 429,Gas Safety,1952-01-01,73,1,North Patch 1,1758,Advisory,True,False,High
1747,430,2024-08-24,Inspector 4,Pass,Inspection notes for property 430,Fire Safety,1952-01-01,73,4,East Patch 2,130,Pass,False,False,None
1748,430,2021-07-11,Inspector 1,Pass,Inspection notes for property 430,Fire Safety,1952-01-01,73,4,East Patch 2,1270,Pass,False,False,None
1749,431,2021-12-21,Inspector 8,Pass,Inspection notes for property 431,General HHSRS,1952-01-01,73,1,North Patch 1,1107,Pass,False,False,None
1750,431,2021-04-13,Inspector 9,Needs Attention,Inspection notes for property 431,Fire Safety,1952-01-01,73,1,North Patch 1,1359,Advisory,True,False,Medium
1751,431,2022-05-22,Inspector 8,Needs Attention,Inspection notes for property 431,Gas Safety,1952-01-01,73,1,North Patch 1,955,Advisory,True,False,Medium
1752,431,2021-04-13,Inspector 9,Needs Attention,Inspection notes for property 431,Fire Safety,1952-01-01,73,1,North Patch 1,1359,Pass,False,False,None
1753,432,2024-12-31,Inspector 10,Pass,Inspection notes for property 432,Fire Safety,1952-01-01,73,6,South Patch 2,1,Pass,False,False,None
1754,432,2025-01-14,Inspector 7,Needs Attention,Inspection notes for property 432,Fire Safety,1952-01-01,73,6,South Patch 2,-13,Pass,False,False,None
1755,432,2020-11-15,Inspector 6,Pass,Inspection notes for property 432,Water Hygiene,1952-01-01,73,6,South Patch 2,1508,Pass,False,False,None
1756,432,2021-05-15,Inspector 9,Needs Attention,Inspection notes for property 432,General HHSRS,1952-01-01,73,6,South Patch 2,1327,Fail,True,False,Low
1757,432,2024-03-11,Inspector 10,Fail,Inspection notes for property 432,Water Hygiene,1952-01-01,73,6,South Patch 2,296,Pass,False,False,None
1758,433,2023-10-26,Inspector 3,Pass,Inspection notes for property 433,Gas Safety,1952-01-01,73,5,South Patch 1,433,Pass,False,False,None
1759,433,2020-05-15,Inspector 3,Needs Attention,Inspection notes for property 433,Fire Safety,1952-01-01,73,5,South Patch 1,1692,Pass,False,False,None
1760,433,2024-10-16,Inspector 7,Fail,Inspection notes for property 433,Gas Safety,1952-01-01,73,5,South Patch 1,77,Advisory,True,False,Medium
1761,433,2024-02-14,Inspector 6,Pass,Inspection notes for property 433,Gas Safety,1952-01-01,73,5,South Patch 1,322,Pass,False,False,None
1762,433,2021-09-04,Inspector 4,Needs Attention,Inspection notes for property 433,General HHSRS,1952-01-01,73,5,South Patch 1,1215,Pass,False,False,None
1763,433,2023-06-14,Inspector 5,Fail,Inspection notes for property 433,Fire Safety,1952-01-01,73,5,South Patch 1,567,Pass,False,False,None
1764,434,2023-11-19,Inspector 1,Needs Attention,Inspection notes for property 434,Gas Safety,1952-01-01,73,8,West Patch 2,409,Pass,False,False,None
1765,434,2021-11-21,Inspector 7,Pass,Inspection notes for property 434,Fire Safety,1952-01-01,73,8,West Patch 2,1137,Pass,False,False,None
1766,434,2021-06-22,Inspector 9,Pass,Inspection notes for property 434,Gas Safety,1952-01-01,73,8,West Patch 2,1289,Pass,False,False,None
1767,434,2021-12-08,Inspector 8,Pass,Inspection notes for property 434,Electrical,1952-01-01,73,8,West Patch 2,1120,Pass,False,False,None
1768,435,2021-08-17,Inspector 8,Fail,Inspection notes for property 435,Gas Safety,1952-01-01,73,4,East Patch 2,1233,Fail,True,True,Low
1769,435,2023-04-02,Inspector 2,Pass,Inspection notes for property 435,Gas Safety,1952-01-01,73,4,East Patch 2,640,Advisory,True,False,High
1770,436,2022-10-28,Inspector 6,Pass,Inspection notes for property 436,Gas Safety,1952-01-01,73,8,West Patch 2,796,Fail,True,True,Medium
1771,436,2022-08-30,Inspector 8,Pass,Inspection notes for property 436,Gas Safety,1952-01-01,73,8,West Patch 2,855,Pass,False,False,None
1772,436,2022-10-02,Inspector 9,Pass,Inspection notes for property 436,General HHSRS,1952-01-01,73,8,West Patch 2,822,Fail,True,False,High
1773,437,2022-06-05,Inspector 1,Pass,Inspection notes for property 437,General HHSRS,1952-01-01,73,8,West Patch 2,941,Pass,False,False,None
1774,437,2023-04-09,Inspector 4,Fail,Inspection notes for property 437,Water Hygiene,1952-01-01,73,8,West Patch 2,633,Pass,False,False,None
1775,438,2023-05-27,Inspector 6,Fail,Inspection notes for property 438,General HHSRS,1952-01-01,73,8,West Patch 2,585,Pass,False,False,None
1776,438,2022-01-26,Inspector 5,Pass,Inspection notes for property 438,Gas Safety,1952-01-01,73,8,West Patch 2,1071,Pass,False,False,None
1777,438,2021-05-25,Inspector 8,Pass,Inspection notes for property 438,Electrical,1952-01-01,73,8,West Patch 2,1317,Pass,False,False,None
1778,438,2023-04-02,Inspector 7,Pass,Inspection notes for property 438,Gas Safety,1952-01-01,73,8,West Patch 2,640,Pass,False,False,None
1779,439,2024-06-16,Inspector 4,Fail,Inspection notes for property 439,Fire Safety,1952-01-01,73,7,West Patch 1,199,Pass,False,False,None
1780,439,2024-04-30,Inspector 7,Fail,Inspection notes for property 439,General HHSRS,1952-01-01,73,7,West Patch 1,246,Pass,False,False,None
1781,439,2023-03-22,Inspector 1,Pass,Inspection notes for property 439,Fire Safety,1952-01-01,73,7,West Patch 1,651,Pass,False,False,None
1782,440,2022-05-23,Inspector 5,Pass,Inspection notes for property 440,Water Hygiene,1952-01-01,73,3,East Patch 1,954,Pass,False,False,None
1783,440,2022-03-05,Inspector 9,Fail,Inspection notes for property 440,Gas Safety,1952-01-01,73,3,East Patch 1,1033,Pass,False,False,None
1784,440,2021-01-27,Inspector 3,Fail,Inspection notes for property 440,Electrical,1952-01-01,73,3,East Patch 1,1435,Advisory,True,False,Medium
1785,441,2021-03-01,Inspector 7,Pass,Inspection notes for property 441,Electrical,1952-01-01,73,1,North Patch 1,1402,Advisory,True,False,Low
1786,441,2024-06-22,Inspector 1,Pass,Inspection notes for property 441,General HHSRS,1952-01-01,73,1,North Patch 1,193,Pass,False,False,None
1787,441,2023-02-24,Inspector 9,Pass,Inspection notes for property 441,Electrical,1952-01-01,73,1,North Patch 1,677,Pass,False,False,None
1788,441,2023-02-10,Inspector 1,Needs Attention,Inspection notes for property 441,Electrical,1952-01-01,73,1,North Patch 1,691,Pass,False,False,None
1789,441,2022-02-09,Inspector 10,Needs Attention,Inspection notes for property 441,Fire Safety,1952-01-01,73,1,North Patch 1,1057,Advisory,True,False,High
1790,441,2022-08-23,Inspector 8,Fail,Inspection notes for property 441,Gas Safety,1952-01-01,73,1,North Patch 1,862,Pass,False,False,None
1791,442,2024-12-08,Inspector 7,Pass,Inspection notes for property 442,Fire Safety,1952-01-01,73,8,West Patch 2,24,Pass,False,False,None
1792,442,2024-03-22,Inspector 9,Pass,Inspection notes for property 442,Electrical,1952-01-01,73,8,West Patch 2,285,Pass,False,False,None
1793,442,2023-03-07,Inspector 2,Fail,Inspection notes for property 442,Gas Safety,1952-01-01,73,8,West Patch 2,666,Pass,False,False,None
1794,442,2023-10-09,Inspector 7,Pass,Inspection notes for property 442,Electrical,1952-01-01,73,8,West Patch 2,450,Pass,False,False,None
1795,442,2021-12-02,Inspector 2,Needs Attention,Inspection notes for property 442,Fire Safety,1952-01-01,73,8,West Patch 2,1126,Advisory,True,False,High
1796,443,2021-08-26,Inspector 3,Pass,Inspection notes for property 443,Fire Safety,1952-01-01,73,1,North Patch 1,1224,Pass,False,False,None
1797,443,2021-07-20,Inspector 3,Pass,Inspection notes for property 443,Electrical,1952-01-01,73,1,North Patch 1,1261,Pass,False,False,None
1798,443,2024-03-05,Inspector 7,Pass,Inspection notes for property 443,Fire Safety,1952-01-01,73,1,North Patch 1,302,Advisory,True,False,Medium
1799,443,2024-01-01,Inspector 3,Fail,Inspection notes for property 443,Fire Safety,1952-01-01,73,1,North Patch 1,366,Advisory,True,False,High
1800,443,2021-08-15,Inspector 4,Pass,Inspection notes for property 443,Fire Safety,1952-01-01,73,1,North Patch 1,1235,Pass,False,False,None
1801,443,2022-12-12,Inspector 7,Needs Attention,Inspection notes for property 443,Water Hygiene,1952-01-01,73,1,North Patch 1,751,Pass,False,False,None
1802,444,2023-01-11,Inspector 6,Fail,Inspection notes for property 444,Electrical,1952-01-01,73,8,West Patch 2,721,Pass,False,False,None
1803,444,2024-09-25,Inspector 9,Fail,Inspection notes for property 444,Gas Safety,1952-01-01,73,8,West Patch 2,98,Fail,True,True,Low
1804,444,2024-10-15,Inspector 5,Pass,Inspection notes for property 444,Fire Safety,1952-01-01,73,8,West Patch 2,78,Pass,False,False,None
1805,445,2023-04-07,Inspector 6,Needs Attention,Inspection notes for property 445,Gas Safety,1952-01-01,73,4,East Patch 2,635,Fail,True,False,High
1806,445,2023-11-09,Inspector 6,Pass,Inspection notes for property 445,General HHSRS,1952-01-01,73,4,East Patch 2,419,Pass,False,False,None
1807,445,2024-06-11,Inspector 1,Pass,Inspection notes for property 445,Electrical,1952-01-01,73,4,East Patch 2,204,Pass,False,False,None
1808,445,2020-11-25,Inspector 6,Pass,Inspection notes for property 445,Fire Safety,1952-01-01,73,4,East Patch 2,1498,Pass,False,False,None
1809,446,2023-05-07,Inspector 10,Pass,Inspection notes for property 446,Fire Safety,1952-01-01,73,3,East Patch 1,605,Pass,False,False,None
1810,446,2024-01-16,Inspector 5,Fail,Inspection notes for property 446,Fire Safety,1952-01-01,73,3,East Patch 1,351,Pass,False,False,None
1811,446,2023-03-16,Inspector 5,Pass,Inspection notes for property 446,Electrical,1952-01-01,73,3,East Patch 1,657,Pass,False,False,None
1812,446,2021-04-29,Inspector 1,Needs Attention,Inspection notes for property 446,General HHSRS,1952-01-01,73,3,East Patch 1,1343,Pass,False,False,None
1813,446,2020-04-10,Inspector 3,Fail,Inspection notes for property 446,Fire Safety,1952-01-01,73,3,East Patch 1,1727,Fail,True,True,High
1814,447,2020-11-29,Inspector 10,Needs Attention,Inspection notes for property 447,Fire Safety,1952-01-01,73,3,East Patch 1,1494,Pass,False,False,None
1815,447,2022-12-29,Inspector 4,Needs Attention,Inspection notes for property 447,Fire Safety,1952-01-01,73,3,East Patch 1,734,Advisory,True,False,Medium
1816,447,2023-11-25,Inspector 10,Fail,Inspection notes for property 447,Water Hygiene,1952-01-01,73,3,East Patch 1,403,Pass,False,False,None
1817,447,2024-06-25,Inspector 3,Needs Attention,Inspection notes for property 447,Fire Safety,1952-01-01,73,3,East Patch 1,190,Pass,False,False,None
1818,448,2024-05-27,Inspector 1,Needs Attention,Inspection notes for property 448,General HHSRS,1952-01-01,73,6,South Patch 2,219,Pass,False,False,None
1819,448,2020-06-29,Inspector 4,Pass,Inspection notes for property 448,Electrical,1952-01-01,73,6,South Patch 2,1647,Pass,False,False,None
1820,448,2022-07-31,Inspector 2,Pass,Inspection notes for property 448,Gas Safety,1952-01-01,73,6,South Patch 2,885,Fail,True,False,High
1821,448,2021-10-08,Inspector 6,Fail,Inspection notes for property 448,Fire Safety,1952-01-01,73,6,South Patch 2,1181,Pass,False,False,None
1822,448,2022-02-06,Inspector 4,Needs Attention,Inspection notes for property 448,Fire Safety,1952-01-01,73,6,South Patch 2,1060,Pass,False,False,None
1823,448,2024-03-20,Inspector 1,Pass,Inspection notes for property 448,Electrical,1952-01-01,73,6,South Patch 2,287,Pass,False,False,None
1824,449,2021-12-28,Inspector 5,Needs Attention,Inspection notes for property 449,General HHSRS,1952-01-01,73,7,West Patch 1,1100,Pass,False,False,None
1825,449,2023-10-01,Inspector 8,Needs Attention,Inspection notes for property 449,Electrical,1952-01-01,73,7,West Patch 1,458,Pass,False,False,None
1826,449,2024-02-06,Inspector 7,Pass,Inspection notes for property 449,Gas Safety,1952-01-01,73,7,West Patch 1,330,Advisory,True,False,Medium
1827,449,2022-09-23,Inspector 9,Needs Attention,Inspection notes for property 449,Fire Safety,1952-01-01,73,7,West Patch 1,831,Advisory,True,False,Medium
1828,449,2024-02-22,Inspector 10,Fail,Inspection notes for property 449,Water Hygiene,1952-01-01,73,7,West Patch 1,314,Pass,False,False,None
1829,450,2023-06-15,Inspector 1,Needs Attention,Inspection notes for property 450,General HHSRS,1952-01-01,73,6,South Patch 2,566,Pass,False,False,None
1830,450,2020-08-16,Inspector 4,Needs Attention,Inspection notes for property 450,Fire Safety,1952-01-01,73,6,South Patch 2,1599,Pass,False,False,None
1831,450,2022-04-21,Inspector 9,Needs Attention,Inspection notes for property 450,Water Hygiene,1952-01-01,73,6,South Patch 2,986,Pass,False,False,None
1832,451,2022-08-16,Inspector 9,Fail,Inspection notes for property 451,Electrical,1952-01-01,73,6,South Patch 2,869,Pass,False,False,None
1833,451,2020-09-15,Inspector 7,Fail,Inspection notes for property 451,Electrical,1952-01-01,73,6,South Patch 2,1569,Pass,False,False,None
1834,451,2023-07-22,Inspector 4,Pass,Inspection notes for property 451,Electrical,1952-01-01,73,6,South Patch 2,529,Pass,False,False,None
1835,452,2021-11-14,Inspector 4,Needs Attention,Inspection notes for property 452,General HHSRS,1952-01-01,73,6,South Patch 2,1144,Pass,False,False,None
1836,452,2025-10-01,Inspector 9,Fail,Inspection notes for property 452,Electrical,1952-01-01,73,6,South Patch 2,-273,Pass,False,False,None
1837,452,2021-09-02,Inspector 9,Fail,Inspection notes for property 452,Fire Safety,1952-01-01,73,6,South Patch 2,1217,Pass,False,False,None
1838,453,2023-02-06,Inspector 5,Needs Attention,Inspection notes for property 453,Gas Safety,1952-01-01,73,6,South Patch 2,695,Pass,False,False,None
1839,453,2024-02-13,Inspector 4,Pass,Inspection notes for property 453,Water Hygiene,1952-01-01,73,6,South Patch 2,323,Pass,False,False,None
1840,453,2023-09-29,Inspector 5,Pass,Inspection notes for property 453,Fire Safety,1952-01-01,73,6,South Patch 2,460,Advisory,True,False,High
1841,454,2023-10-07,Inspector 3,Fail,Inspection notes for property 454,Gas Safety,1952-01-01,73,6,South Patch 2,452,Pass,False,False,None
1842,454,2021-06-23,Inspector 4,Pass,Inspection notes for property 454,Gas Safety,1952-01-01,73,6,South Patch 2,1288,Pass,False,False,None
1843,454,2024-05-06,Inspector 1,Needs Attention,Inspection notes for property 454,Gas Safety,1952-01-01,73,6,South Patch 2,240,Pass,False,False,None
1844,455,2023-04-01,Inspector 6,Pass,Inspection notes for property 455,Electrical,1952-01-01,73,5,South Patch 1,641,Advisory,True,False,Low
1845,455,2021-12-31,Inspector 5,Needs Attention,Inspection notes for property 455,Water Hygiene,1952-01-01,73,5,South Patch 1,1097,Pass,False,False,None
1846,455,2022-10-15,Inspector 10,Fail,Inspection notes for property 455,Fire Safety,1952-01-01,73,5,South Patch 1,809,Pass,False,False,None
1847,455,2024-03-10,Inspector 1,Fail,Inspection notes for property 455,Fire Safety,1952-01-01,73,5,South Patch 1,297,Pass,False,False,None
1848,455,2020-12-24,Inspector 5,Pass,Inspection notes for property 455,Fire Safety,1952-01-01,73,5,South Patch 1,1469,Advisory,True,False,Medium
1849,455,2024-12-27,Inspector 9,Needs Attention,Inspection notes for property 455,General HHSRS,1952-01-01,73,5,South Patch 1,5,Fail,True,False,High
1850,456,2021-10-01,Inspector 7,Needs Attention,Inspection notes for property 456,Electrical,1952-01-01,73,3,East Patch 1,1188,Pass,False,False,None
1851,456,2020-03-14,Inspector 10,Needs Attention,Inspection notes for property 456,Fire Safety,1952-01-01,73,3,East Patch 1,1754,Advisory,True,False,Medium
1852,457,2023-04-11,Inspector 6,Fail,Inspection notes for property 457,General HHSRS,1952-01-01,73,6,South Patch 2,631,Fail,True,True,Low
1853,457,2021-10-25,Inspector 7,Pass,Inspection notes for property 457,General HHSRS,1952-01-01,73,6,South Patch 2,1164,Fail,True,True,Low
1854,457,2023-12-10,Inspector 7,Fail,Inspection notes for property 457,General HHSRS,1952-01-01,73,6,South Patch 2,388,Pass,False,False,None
1855,457,2022-05-23,Inspector 2,Fail,Inspection notes for property 457,Water Hygiene,1952-01-01,73,6,South Patch 2,954,Pass,False,False,None
1856,457,2022-03-07,Inspector 3,Pass,Inspection notes for property 457,Fire Safety,1952-01-01,73,6,South Patch 2,1031,Pass,False,False,None
1857,458,2022-04-30,Inspector 3,Needs Attention,Inspection notes for property 458,General HHSRS,1952-01-01,73,8,West Patch 2,977,Advisory,True,False,Medium
1858,458,2024-12-16,Inspector 5,Pass,Inspection notes for property 458,Gas Safety,1952-01-01,73,8,West Patch 2,16,Pass,False,False,None
1859,458,2020-06-29,Inspector 7,Needs Attention,Inspection notes for property 458,General HHSRS,1952-01-01,73,8,West Patch 2,1647,Pass,False,False,None
1860,458,2024-10-01,Inspector 2,Pass,Inspection notes for property 458,Electrical,1952-01-01,73,8,West Patch 2,92,Pass,False,False,None
1861,458,2022-08-09,Inspector 4,Fail,Inspection notes for property 458,General HHSRS,1952-01-01,73,8,West Patch 2,876,Advisory,True,False,Low
1862,458,2022-10-27,Inspector 2,Needs Attention,Inspection notes for property 458,Electrical,1952-01-01,73,8,West Patch 2,797,Advisory,True,False,High
1863,459,2021-01-01,Inspector 1,Needs Attention,Inspection notes for property 459,Fire Safety,1952-01-01,73,3,East Patch 1,1461,Pass,False,False,None
1864,459,2022-12-17,Inspector 7,Pass,Inspection notes for property 459,Gas Safety,1952-01-01,73,3,East Patch 1,746,Advisory,True,False,High
1865,459,2020-11-06,Inspector 1,Needs Attention,Inspection notes for property 459,Water Hygiene,1952-01-01,73,3,East Patch 1,1517,Pass,False,False,None
1866,460,2023-08-09,Inspector 2,Fail,Inspection notes for property 460,Water Hygiene,1952-01-01,73,3,East Patch 1,511,Advisory,True,False,Medium
1867,460,2021-07-24,Inspector 10,Pass,Inspection notes for property 460,Fire Safety,1952-01-01,73,3,East Patch 1,1257,Pass,False,False,None
1868,460,2020-08-21,Inspector 2,Needs Attention,Inspection notes for property 460,Fire Safety,1952-01-01,73,3,East Patch 1,1594,Pass,False,False,None
1869,461,2020-04-18,Inspector 2,Pass,Inspection notes for property 461,Fire Safety,1952-01-01,73,2,North Patch 2,1719,Fail,True,False,Low
1870,461,2022-05-21,Inspector 10,Fail,Inspection notes for property 461,Electrical,1952-01-01,73,2,North Patch 2,956,Pass,False,False,None
1871,461,2023-10-05,Inspector 6,Fail,Inspection notes for property 461,General HHSRS,1952-01-01,73,2,North Patch 2,454,Advisory,True,False,High
1872,461,2023-09-17,Inspector 1,Needs Attention,Inspection notes for property 461,Fire Safety,1952-01-01,73,2,North Patch 2,472,Pass,False,False,None
1873,462,2021-07-23,Inspector 9,Pass,Inspection notes for property 462,Gas Safety,1952-01-01,73,5,South Patch 1,1258,Pass,False,False,None
1874,462,2020-06-14,Inspector 1,Pass,Inspection notes for property 462,General HHSRS,1952-01-01,73,5,South Patch 1,1662,Pass,False,False,None
1875,462,2023-01-06,Inspector 2,Needs Attention,Inspection notes for property 462,Electrical,1952-01-01,73,5,South Patch 1,726,Pass,False,False,None
1876,462,2024-04-13,Inspector 1,Pass,Inspection notes for property 462,Gas Safety,1952-01-01,73,5,South Patch 1,263,Pass,False,False,None
1877,463,2022-07-09,Inspector 7,Pass,Inspection notes for property 463,Electrical,1952-01-01,73,6,South Patch 2,907,Pass,False,False,None
1878,463,2021-05-27,Inspector 5,Pass,Inspection notes for property 463,Gas Safety,1952-01-01,73,6,South Patch 2,1315,Pass,False,False,None
1879,463,2022-03-12,Inspector 2,Fail,Inspection notes for property 463,Fire Safety,1952-01-01,73,6,South Patch 2,1026,Pass,False,False,None
1880,464,2023-10-27,Inspector 2,Fail,Inspection notes for property 464,Electrical,1952-01-01,73,1,North Patch 1,432,Fail,True,True,High
1881,464,2024-08-25,Inspector 10,Fail,Inspection notes for property 464,Electrical,1952-01-01,73,1,North Patch 1,129,Fail,True,False,High
1882,465,2024-08-08,Inspector 1,Needs Attention,Inspection notes for property 465,General HHSRS,1952-01-01,73,4,East Patch 2,146,Pass,False,False,None
1883,465,2024-01-30,Inspector 7,Needs Attention,Inspection notes for property 465,Electrical,1952-01-01,73,4,East Patch 2,337,Advisory,True,False,Medium
1884,465,2021-09-18,Inspector 3,Needs Attention,Inspection notes for property 465,General HHSRS,1952-01-01,73,4,East Patch 2,1201,Pass,False,False,None
1885,465,2024-03-27,Inspector 5,Needs Attention,Inspection notes for property 465,Fire Safety,1952-01-01,73,4,East Patch 2,280,Pass,False,False,None
1886,466,2020-03-03,Inspector 2,Fail,Inspection notes for property 466,Gas Safety,1952-01-01,73,7,West Patch 1,1765,Advisory,True,False,Medium
1887,466,2021-05-14,Inspector 6,Fail,Inspection notes for property 466,Fire Safety,1952-01-01,73,7,West Patch 1,1328,Fail,True,True,High
1888,466,2020-07-08,Inspector 2,Pass,Inspection notes for property 466,Fire Safety,1952-01-01,73,7,West Patch 1,1638,Pass,False,False,None
1889,466,2020-09-19,Inspector 3,Fail,Inspection notes for property 466,Electrical,1952-01-01,73,7,West Patch 1,1565,Advisory,True,False,High
1890,467,2022-07-29,Inspector 8,Pass,Inspection notes for property 467,Water Hygiene,1952-01-01,73,8,West Patch 2,887,Pass,False,False,None
1891,467,2021-02-11,Inspector 7,Needs Attention,Inspection notes for property 467,Fire Safety,1952-01-01,73,8,West Patch 2,1420,Fail,True,False,Low
